"","income","age","marital_status","hours_per_week","education","capital_gain","capital_loss","income_num","career_stage","marital_status_group","hours_group","education_group","has_investment_activity"
"17640","<=50K",63,"Married-civ-spouse",48,"Some-college",0,0,"0","Retirement-transition","Married","Overtime","HS-some-college","No"
"17642",">50K",40,"Divorced",60,"HS-grad",0,0,"1","Growth-phase","Previously-married","Overtime","HS-some-college","No"
"17645","<=50K",40,"Never-married",40,"HS-grad",0,0,"0","Growth-phase","Never-married","Full-time","HS-some-college","No"
"17647","<=50K",41,"Never-married",40,"Bachelors",0,0,"0","Growth-phase","Never-married","Full-time","Bachelors","No"
"17652","<=50K",31,"Married-civ-spouse",40,"Bachelors",0,0,"0","Growth-phase","Married","Full-time","Bachelors","No"
"17653",">50K",34,"Married-civ-spouse",50,"Bachelors",0,0,"1","Growth-phase","Married","Overtime","Bachelors","No"
"17654",">50K",57,"Married-civ-spouse",50,"Masters",0,0,"1","Peak-earning","Married","Overtime","Masters","No"
"17664","<=50K",65,"Married-civ-spouse",20,"Bachelors",0,0,"0","Retirement-transition","Married","Underemployed","Bachelors","No"
"17688","<=50K",47,"Married-civ-spouse",40,"7th-8th",0,0,"0","Peak-earning","Married","Full-time","Non-HS","No"
"17693","<=50K",56,"Separated",38,"Some-college",0,0,"0","Peak-earning","Previously-married","Full-time","HS-some-college","No"
"17697","<=50K",50,"Divorced",40,"HS-grad",0,0,"0","Peak-earning","Previously-married","Full-time","HS-some-college","No"
"17704","<=50K",24,"Never-married",40,"Masters",0,0,"0","Entry-level","Never-married","Full-time","Masters","No"
"17705","<=50K",31,"Married-civ-spouse",40,"Assoc-voc",0,0,"0","Growth-phase","Married","Full-time","HS-some-college","No"
"17706","<=50K",36,"Married-civ-spouse",40,"HS-grad",0,0,"0","Growth-phase","Married","Full-time","HS-some-college","No"
"17724","<=50K",54,"Widowed",40,"HS-grad",0,0,"0","Peak-earning","Previously-married","Full-time","HS-some-college","No"
"17734","<=50K",51,"Married-civ-spouse",60,"Some-college",0,2057,"0","Peak-earning","Married","Overtime","HS-some-college","Yes"
"17737","<=50K",44,"Married-civ-spouse",50,"7th-8th",0,0,"0","Growth-phase","Married","Overtime","Non-HS","No"
"17742","<=50K",21,"Never-married",20,"Some-college",0,0,"0","Entry-level","Never-married","Underemployed","HS-some-college","No"
"17744",">50K",41,"Married-civ-spouse",50,"Doctorate",15024,0,"1","Growth-phase","Married","Overtime","Prof-doctorate","Yes"
"17749","<=50K",24,"Never-married",40,"12th",0,0,"0","Entry-level","Never-married","Full-time","Non-HS","No"
"17762","<=50K",18,"Never-married",24,"HS-grad",0,0,"0","Entry-level","Never-married","Underemployed","HS-some-college","No"
"17765","<=50K",23,"Never-married",40,"HS-grad",0,0,"0","Entry-level","Never-married","Full-time","HS-some-college","No"
"17767","<=50K",19,"Never-married",25,"Some-college",0,0,"0","Entry-level","Never-married","Underemployed","HS-some-college","No"
"17770","<=50K",39,"Married-civ-spouse",40,"Some-college",0,0,"0","Growth-phase","Married","Full-time","HS-some-college","No"
"17771",">50K",54,"Married-civ-spouse",40,"HS-grad",0,1848,"1","Peak-earning","Married","Full-time","HS-some-college","Yes"
"17772","<=50K",46,"Married-civ-spouse",40,"HS-grad",0,0,"0","Peak-earning","Married","Full-time","HS-some-college","No"
"17773","<=50K",47,"Separated",32,"HS-grad",0,0,"0","Peak-earning","Previously-married","Full-time","HS-some-college","No"
"17774","<=50K",33,"Never-married",40,"HS-grad",0,0,"0","Growth-phase","Never-married","Full-time","HS-some-college","No"
"17776","<=50K",21,"Never-married",40,"Some-college",0,0,"0","Entry-level","Never-married","Full-time","HS-some-college","No"
"17784","<=50K",35,"Married-civ-spouse",40,"9th",0,0,"0","Growth-phase","Married","Full-time","Non-HS","No"
"17789",">50K",42,"Married-civ-spouse",50,"Prof-school",99999,0,"1","Growth-phase","Married","Overtime","Prof-doctorate","Yes"
"17808","<=50K",18,"Never-married",25,"Some-college",0,0,"0","Entry-level","Never-married","Underemployed","HS-some-college","No"
"17812",">50K",36,"Married-civ-spouse",25,"HS-grad",0,0,"1","Growth-phase","Married","Underemployed","HS-some-college","No"
"17814","<=50K",38,"Divorced",40,"HS-grad",0,0,"0","Growth-phase","Previously-married","Full-time","HS-some-college","No"
"17820","<=50K",54,"Widowed",35,"HS-grad",0,2001,"0","Peak-earning","Previously-married","Full-time","HS-some-college","Yes"
"17822","<=50K",35,"Married-civ-spouse",52,"Assoc-acdm",0,0,"0","Growth-phase","Married","Overtime","HS-some-college","No"
"17826","<=50K",39,"Never-married",40,"Some-college",0,2205,"0","Growth-phase","Never-married","Full-time","HS-some-college","Yes"
"17831","<=50K",60,"Married-civ-spouse",40,"Assoc-acdm",0,0,"0","Peak-earning","Married","Full-time","HS-some-college","No"
"17835","<=50K",29,"Never-married",40,"Bachelors",2202,0,"0","Entry-level","Never-married","Full-time","Bachelors","Yes"
"17836","<=50K",25,"Divorced",44,"Bachelors",0,0,"0","Entry-level","Previously-married","Full-time","Bachelors","No"
"17839","<=50K",38,"Never-married",40,"HS-grad",0,0,"0","Growth-phase","Never-married","Full-time","HS-some-college","No"
"17840",">50K",33,"Married-civ-spouse",50,"Some-college",0,0,"1","Growth-phase","Married","Overtime","HS-some-college","No"
"17844","<=50K",46,"Never-married",45,"Some-college",0,0,"0","Peak-earning","Never-married","Full-time","HS-some-college","No"
"17847","<=50K",26,"Never-married",35,"HS-grad",0,0,"0","Entry-level","Never-married","Full-time","HS-some-college","No"
"17849","<=50K",39,"Never-married",40,"HS-grad",0,0,"0","Growth-phase","Never-married","Full-time","HS-some-college","No"
"17853","<=50K",27,"Never-married",40,"Bachelors",0,0,"0","Entry-level","Never-married","Full-time","Bachelors","No"
"17861","<=50K",31,"Never-married",50,"7th-8th",0,0,"0","Growth-phase","Never-married","Overtime","Non-HS","No"
"17880","<=50K",18,"Never-married",8,"11th",0,0,"0","Entry-level","Never-married","Underemployed","Non-HS","No"
"17885",">50K",58,"Married-civ-spouse",20,"HS-grad",0,0,"1","Peak-earning","Married","Underemployed","HS-some-college","No"
"17891","<=50K",22,"Never-married",40,"HS-grad",0,0,"0","Entry-level","Never-married","Full-time","HS-some-college","No"
"17897","<=50K",21,"Married-civ-spouse",40,"Assoc-voc",0,2603,"0","Entry-level","Married","Full-time","HS-some-college","Yes"
"17906","<=50K",41,"Divorced",40,"Some-college",0,0,"0","Growth-phase","Previously-married","Full-time","HS-some-college","No"
"17908",">50K",58,"Widowed",52,"HS-grad",8614,0,"1","Peak-earning","Previously-married","Overtime","HS-some-college","Yes"
"17911","<=50K",32,"Divorced",40,"10th",0,0,"0","Growth-phase","Previously-married","Full-time","Non-HS","No"
"17913","<=50K",26,"Married-civ-spouse",20,"Bachelors",0,0,"0","Entry-level","Married","Underemployed","Bachelors","No"
"17914","<=50K",33,"Married-civ-spouse",50,"Assoc-voc",0,0,"0","Growth-phase","Married","Overtime","HS-some-college","No"
"17918","<=50K",48,"Divorced",40,"HS-grad",0,0,"0","Peak-earning","Previously-married","Full-time","HS-some-college","No"
"17920","<=50K",62,"Married-civ-spouse",35,"10th",0,0,"0","Retirement-transition","Married","Full-time","Non-HS","No"
"17921",">50K",37,"Married-civ-spouse",45,"Prof-school",0,0,"1","Growth-phase","Married","Full-time","Prof-doctorate","No"
"17923","<=50K",48,"Divorced",38,"HS-grad",0,0,"0","Peak-earning","Previously-married","Full-time","HS-some-college","No"
"17930","<=50K",53,"Married-civ-spouse",60,"Some-college",0,0,"0","Peak-earning","Married","Overtime","HS-some-college","No"
"17931","<=50K",49,"Divorced",40,"Some-college",0,0,"0","Peak-earning","Previously-married","Full-time","HS-some-college","No"
"17934","<=50K",39,"Married-civ-spouse",45,"Masters",0,0,"0","Growth-phase","Married","Full-time","Masters","No"
"17935","<=50K",23,"Never-married",40,"Bachelors",0,0,"0","Entry-level","Never-married","Full-time","Bachelors","No"
"17938",">50K",41,"Married-civ-spouse",40,"Some-college",0,0,"1","Growth-phase","Married","Full-time","HS-some-college","No"
"17941","<=50K",56,"Divorced",36,"10th",0,0,"0","Peak-earning","Previously-married","Full-time","Non-HS","No"
"17942","<=50K",26,"Divorced",40,"HS-grad",0,0,"0","Entry-level","Previously-married","Full-time","HS-some-college","No"
"17944","<=50K",26,"Never-married",42,"Bachelors",0,0,"0","Entry-level","Never-married","Full-time","Bachelors","No"
"17954","<=50K",58,"Never-married",60,"Bachelors",0,0,"0","Peak-earning","Never-married","Overtime","Bachelors","No"
"17963","<=50K",32,"Never-married",38,"Some-college",0,0,"0","Growth-phase","Never-married","Full-time","HS-some-college","No"
"17968",">50K",43,"Married-civ-spouse",50,"Bachelors",15024,0,"1","Growth-phase","Married","Overtime","Bachelors","Yes"
"17969",">50K",60,"Married-civ-spouse",46,"Bachelors",0,0,"1","Peak-earning","Married","Overtime","Bachelors","No"
"17970","<=50K",28,"Married-civ-spouse",40,"HS-grad",0,0,"0","Entry-level","Married","Full-time","HS-some-college","No"
"17973","<=50K",25,"Married-civ-spouse",40,"HS-grad",0,0,"0","Entry-level","Married","Full-time","HS-some-college","No"
"17987","<=50K",56,"Married-civ-spouse",50,"HS-grad",0,0,"0","Peak-earning","Married","Overtime","HS-some-college","No"
"17990","<=50K",31,"Never-married",38,"Some-college",2463,0,"0","Growth-phase","Never-married","Full-time","HS-some-college","Yes"
"17992","<=50K",44,"Divorced",40,"HS-grad",0,0,"0","Growth-phase","Previously-married","Full-time","HS-some-college","No"
"17993","<=50K",22,"Never-married",50,"Some-college",0,0,"0","Entry-level","Never-married","Overtime","HS-some-college","No"
"18013",">50K",39,"Married-civ-spouse",45,"Bachelors",0,1977,"1","Growth-phase","Married","Full-time","Bachelors","Yes"
"18020","<=50K",45,"Divorced",35,"Masters",0,0,"0","Peak-earning","Previously-married","Full-time","Masters","No"
"18032","<=50K",53,"Married-civ-spouse",35,"10th",0,0,"0","Peak-earning","Married","Full-time","Non-HS","No"
"18043",">50K",33,"Married-civ-spouse",40,"Prof-school",0,0,"1","Growth-phase","Married","Full-time","Prof-doctorate","No"
"18046","<=50K",31,"Never-married",50,"HS-grad",0,0,"0","Growth-phase","Never-married","Overtime","HS-some-college","No"
"18048","<=50K",24,"Never-married",40,"HS-grad",0,0,"0","Entry-level","Never-married","Full-time","HS-some-college","No"
"18052","<=50K",54,"Married-civ-spouse",40,"HS-grad",0,0,"0","Peak-earning","Married","Full-time","HS-some-college","No"
"18054",">50K",40,"Married-civ-spouse",50,"Bachelors",0,0,"1","Growth-phase","Married","Overtime","Bachelors","No"
"18058","<=50K",36,"Never-married",40,"7th-8th",0,0,"0","Growth-phase","Never-married","Full-time","Non-HS","No"
"18060","<=50K",55,"Married-civ-spouse",50,"Masters",0,0,"0","Peak-earning","Married","Overtime","Masters","No"
"18064",">50K",31,"Married-civ-spouse",50,"Bachelors",0,0,"1","Growth-phase","Married","Overtime","Bachelors","No"
"18079","<=50K",22,"Never-married",40,"HS-grad",0,0,"0","Entry-level","Never-married","Full-time","HS-some-college","No"
"18086","<=50K",27,"Never-married",40,"Some-college",0,0,"0","Entry-level","Never-married","Full-time","HS-some-college","No"
"18089","<=50K",20,"Never-married",40,"Some-college",0,0,"0","Entry-level","Never-married","Full-time","HS-some-college","No"
"18090","<=50K",24,"Never-married",38,"HS-grad",0,0,"0","Entry-level","Never-married","Full-time","HS-some-college","No"
"18091",">50K",29,"Married-civ-spouse",40,"Some-college",0,0,"1","Entry-level","Married","Full-time","HS-some-college","No"
"18113","<=50K",44,"Never-married",20,"Bachelors",0,1617,"0","Growth-phase","Never-married","Underemployed","Bachelors","Yes"
"18120","<=50K",20,"Never-married",25,"Some-college",0,0,"0","Entry-level","Never-married","Underemployed","HS-some-college","No"
"18140",">50K",37,"Married-civ-spouse",60,"HS-grad",0,0,"1","Growth-phase","Married","Overtime","HS-some-college","No"
"18142",">50K",36,"Married-civ-spouse",45,"Bachelors",0,0,"1","Growth-phase","Married","Full-time","Bachelors","No"
"18146",">50K",46,"Married-civ-spouse",40,"Bachelors",0,1902,"1","Peak-earning","Married","Full-time","Bachelors","Yes"
"18151",">50K",41,"Never-married",40,"HS-grad",14344,0,"1","Growth-phase","Never-married","Full-time","HS-some-college","Yes"
"18157","<=50K",65,"Married-civ-spouse",40,"Some-college",0,0,"0","Retirement-transition","Married","Full-time","HS-some-college","No"
"18162","<=50K",41,"Married-civ-spouse",25,"HS-grad",0,0,"0","Growth-phase","Married","Underemployed","HS-some-college","No"
"18164","<=50K",36,"Married-civ-spouse",25,"Some-college",0,0,"0","Growth-phase","Married","Underemployed","HS-some-college","No"
"18169","<=50K",41,"Married-civ-spouse",40,"HS-grad",0,0,"0","Growth-phase","Married","Full-time","HS-some-college","No"
"18171","<=50K",40,"Separated",40,"Some-college",0,0,"0","Growth-phase","Previously-married","Full-time","HS-some-college","No"
"18173","<=50K",45,"Married-civ-spouse",50,"HS-grad",0,0,"0","Peak-earning","Married","Overtime","HS-some-college","No"
"18182","<=50K",49,"Separated",60,"HS-grad",0,653,"0","Peak-earning","Previously-married","Overtime","HS-some-college","Yes"
"18188","<=50K",32,"Married-civ-spouse",45,"HS-grad",0,0,"0","Growth-phase","Married","Full-time","HS-some-college","No"
"18192","<=50K",35,"Divorced",39,"Some-college",0,0,"0","Growth-phase","Previously-married","Full-time","HS-some-college","No"
"18193",">50K",52,"Married-civ-spouse",50,"Masters",0,0,"1","Peak-earning","Married","Overtime","Masters","No"
"18199","<=50K",31,"Married-civ-spouse",50,"HS-grad",0,0,"0","Growth-phase","Married","Overtime","HS-some-college","No"
"18206",">50K",37,"Married-civ-spouse",40,"Assoc-voc",0,0,"1","Growth-phase","Married","Full-time","HS-some-college","No"
"18207","<=50K",44,"Married-spouse-absent",40,"Bachelors",0,0,"0","Growth-phase","Previously-married","Full-time","Bachelors","No"
"18210",">50K",31,"Married-civ-spouse",50,"Some-college",4386,0,"1","Growth-phase","Married","Overtime","HS-some-college","Yes"
"18213","<=50K",21,"Never-married",40,"Some-college",0,0,"0","Entry-level","Never-married","Full-time","HS-some-college","No"
"18217","<=50K",32,"Divorced",32,"Bachelors",0,0,"0","Growth-phase","Previously-married","Full-time","Bachelors","No"
"18221","<=50K",48,"Divorced",40,"Assoc-voc",0,0,"0","Peak-earning","Previously-married","Full-time","HS-some-college","No"
"18228","<=50K",64,"Married-civ-spouse",20,"HS-grad",0,0,"0","Retirement-transition","Married","Underemployed","HS-some-college","No"
"18232","<=50K",67,"Married-civ-spouse",4,"7th-8th",0,0,"0","Retirement-transition","Married","Underemployed","Non-HS","No"
"18237","<=50K",23,"Never-married",35,"HS-grad",0,0,"0","Entry-level","Never-married","Full-time","HS-some-college","No"
"18240",">50K",58,"Never-married",24,"Masters",0,0,"1","Peak-earning","Never-married","Underemployed","Masters","No"
"18260","<=50K",42,"Divorced",40,"Assoc-acdm",0,0,"0","Growth-phase","Previously-married","Full-time","HS-some-college","No"
"18266","<=50K",57,"Divorced",45,"HS-grad",0,0,"0","Peak-earning","Previously-married","Full-time","HS-some-college","No"
"18269","<=50K",27,"Never-married",15,"Some-college",0,0,"0","Entry-level","Never-married","Underemployed","HS-some-college","No"
"18277","<=50K",90,"Married-civ-spouse",20,"Bachelors",0,0,"0","Retirement-transition","Married","Underemployed","Bachelors","No"
"18281","<=50K",37,"Divorced",40,"10th",0,0,"0","Growth-phase","Previously-married","Full-time","Non-HS","No"
"18286",">50K",54,"Married-civ-spouse",40,"Assoc-acdm",0,0,"1","Peak-earning","Married","Full-time","HS-some-college","No"
"18290","<=50K",28,"Never-married",30,"Some-college",0,0,"0","Entry-level","Never-married","Full-time","HS-some-college","No"
"18298","<=50K",33,"Never-married",40,"HS-grad",0,0,"0","Growth-phase","Never-married","Full-time","HS-some-college","No"
"18306","<=50K",27,"Divorced",36,"Some-college",0,0,"0","Entry-level","Previously-married","Full-time","HS-some-college","No"
"18311",">50K",48,"Married-civ-spouse",40,"Some-college",0,0,"1","Peak-earning","Married","Full-time","HS-some-college","No"
"18315",">50K",42,"Never-married",40,"Bachelors",99999,0,"1","Growth-phase","Never-married","Full-time","Bachelors","Yes"
"18317","<=50K",26,"Never-married",15,"Bachelors",0,0,"0","Entry-level","Never-married","Underemployed","Bachelors","No"
"18324","<=50K",26,"Never-married",40,"Bachelors",0,0,"0","Entry-level","Never-married","Full-time","Bachelors","No"
"18332",">50K",42,"Married-civ-spouse",60,"Bachelors",0,0,"1","Growth-phase","Married","Overtime","Bachelors","No"
"18336","<=50K",68,"Married-civ-spouse",20,"Bachelors",0,0,"0","Retirement-transition","Married","Underemployed","Bachelors","No"
"18344","<=50K",26,"Married-civ-spouse",40,"HS-grad",0,0,"0","Entry-level","Married","Full-time","HS-some-college","No"
"18353","<=50K",40,"Divorced",48,"Some-college",0,0,"0","Growth-phase","Previously-married","Overtime","HS-some-college","No"
"18355","<=50K",43,"Separated",45,"HS-grad",0,0,"0","Growth-phase","Previously-married","Full-time","HS-some-college","No"
"18361","<=50K",24,"Never-married",35,"HS-grad",0,0,"0","Entry-level","Never-married","Full-time","HS-some-college","No"
"18365","<=50K",37,"Widowed",40,"Some-college",2354,0,"0","Growth-phase","Previously-married","Full-time","HS-some-college","Yes"
"18367","<=50K",70,"Married-civ-spouse",70,"Some-college",2653,0,"0","Retirement-transition","Married","Overtime","HS-some-college","Yes"
"18379","<=50K",29,"Married-civ-spouse",40,"HS-grad",0,0,"0","Entry-level","Married","Full-time","HS-some-college","No"
"18389","<=50K",17,"Never-married",40,"11th",0,0,"0","Entry-level","Never-married","Full-time","Non-HS","No"
"18391","<=50K",39,"Never-married",40,"HS-grad",0,0,"0","Growth-phase","Never-married","Full-time","HS-some-college","No"
"18398","<=50K",28,"Married-civ-spouse",50,"HS-grad",0,0,"0","Entry-level","Married","Overtime","HS-some-college","No"
"18399","<=50K",39,"Married-civ-spouse",40,"Bachelors",0,0,"0","Growth-phase","Married","Full-time","Bachelors","No"
"18403",">50K",45,"Married-civ-spouse",45,"Bachelors",0,0,"1","Peak-earning","Married","Full-time","Bachelors","No"
"18409",">50K",69,"Married-civ-spouse",10,"Bachelors",10605,0,"1","Retirement-transition","Married","Underemployed","Bachelors","Yes"
"18415","<=50K",24,"Never-married",36,"Preschool",0,0,"0","Entry-level","Never-married","Full-time","Non-HS","No"
"18417","<=50K",24,"Never-married",53,"Some-college",0,0,"0","Entry-level","Never-married","Overtime","HS-some-college","No"
"18423","<=50K",43,"Married-civ-spouse",40,"HS-grad",0,0,"0","Growth-phase","Married","Full-time","HS-some-college","No"
"18427","<=50K",41,"Married-civ-spouse",40,"Assoc-voc",0,0,"0","Growth-phase","Married","Full-time","HS-some-college","No"
"18431",">50K",33,"Married-civ-spouse",40,"HS-grad",0,0,"1","Growth-phase","Married","Full-time","HS-some-college","No"
"18432","<=50K",37,"Never-married",38,"HS-grad",0,0,"0","Growth-phase","Never-married","Full-time","HS-some-college","No"
"18437","<=50K",42,"Married-civ-spouse",55,"Masters",0,0,"0","Growth-phase","Married","Overtime","Masters","No"
"18440",">50K",67,"Married-civ-spouse",40,"HS-grad",0,0,"1","Retirement-transition","Married","Full-time","HS-some-college","No"
"18449","<=50K",24,"Married-civ-spouse",44,"HS-grad",0,0,"0","Entry-level","Married","Full-time","HS-some-college","No"
"18452",">50K",61,"Divorced",48,"Bachelors",4787,0,"1","Retirement-transition","Previously-married","Overtime","Bachelors","Yes"
"18453","<=50K",51,"Married-civ-spouse",40,"Bachelors",0,1902,"0","Peak-earning","Married","Full-time","Bachelors","Yes"
"18454","<=50K",38,"Married-civ-spouse",70,"Masters",0,0,"0","Growth-phase","Married","Overtime","Masters","No"
"18457",">50K",66,"Married-civ-spouse",25,"Prof-school",0,0,"1","Retirement-transition","Married","Underemployed","Prof-doctorate","No"
"18460","<=50K",29,"Never-married",40,"Some-college",0,0,"0","Entry-level","Never-married","Full-time","HS-some-college","No"
"18462",">50K",42,"Married-civ-spouse",43,"10th",0,0,"1","Growth-phase","Married","Full-time","Non-HS","No"
"18463",">50K",74,"Married-civ-spouse",50,"Prof-school",99999,0,"1","Retirement-transition","Married","Overtime","Prof-doctorate","Yes"
"18467","<=50K",44,"Separated",30,"11th",0,0,"0","Growth-phase","Previously-married","Full-time","Non-HS","No"
"18472","<=50K",32,"Divorced",40,"Assoc-acdm",0,0,"0","Growth-phase","Previously-married","Full-time","HS-some-college","No"
"18474","<=50K",20,"Never-married",20,"Some-college",0,0,"0","Entry-level","Never-married","Underemployed","HS-some-college","No"
"18477","<=50K",30,"Never-married",20,"Some-college",0,0,"0","Entry-level","Never-married","Underemployed","HS-some-college","No"
"18481",">50K",44,"Married-civ-spouse",45,"HS-grad",0,0,"1","Growth-phase","Married","Full-time","HS-some-college","No"
"18483","<=50K",28,"Never-married",50,"Doctorate",594,0,"0","Entry-level","Never-married","Overtime","Prof-doctorate","Yes"
"18484","<=50K",37,"Married-civ-spouse",40,"Some-college",0,0,"0","Growth-phase","Married","Full-time","HS-some-college","No"
"18492","<=50K",54,"Married-civ-spouse",30,"Some-college",2829,0,"0","Peak-earning","Married","Full-time","HS-some-college","Yes"
"18493",">50K",47,"Married-civ-spouse",40,"HS-grad",0,0,"1","Peak-earning","Married","Full-time","HS-some-college","No"
"18495","<=50K",48,"Married-civ-spouse",60,"Assoc-voc",0,0,"0","Peak-earning","Married","Overtime","HS-some-college","No"
"18497",">50K",50,"Married-civ-spouse",50,"Some-college",0,0,"1","Peak-earning","Married","Overtime","HS-some-college","No"
"18509","<=50K",30,"Divorced",40,"HS-grad",0,0,"0","Entry-level","Previously-married","Full-time","HS-some-college","No"
"18518","<=50K",19,"Never-married",35,"Some-college",0,0,"0","Entry-level","Never-married","Full-time","HS-some-college","No"
"18523","<=50K",26,"Never-married",40,"Bachelors",0,0,"0","Entry-level","Never-married","Full-time","Bachelors","No"
"18527",">50K",48,"Married-civ-spouse",40,"Some-college",0,1902,"1","Peak-earning","Married","Full-time","HS-some-college","Yes"
"18528",">50K",53,"Married-civ-spouse",40,"HS-grad",0,0,"1","Peak-earning","Married","Full-time","HS-some-college","No"
"18531",">50K",32,"Married-civ-spouse",56,"Bachelors",0,0,"1","Growth-phase","Married","Overtime","Bachelors","No"
"18534","<=50K",65,"Married-civ-spouse",40,"HS-grad",3818,0,"0","Retirement-transition","Married","Full-time","HS-some-college","Yes"
"18537","<=50K",44,"Never-married",40,"9th",0,0,"0","Growth-phase","Never-married","Full-time","Non-HS","No"
"18549","<=50K",31,"Never-married",40,"HS-grad",0,0,"0","Growth-phase","Never-married","Full-time","HS-some-college","No"
"18555","<=50K",30,"Never-married",40,"HS-grad",0,0,"0","Entry-level","Never-married","Full-time","HS-some-college","No"
"18558","<=50K",31,"Married-civ-spouse",40,"Some-college",0,0,"0","Growth-phase","Married","Full-time","HS-some-college","No"
"18560","<=50K",80,"Married-civ-spouse",8,"HS-grad",0,0,"0","Retirement-transition","Married","Underemployed","HS-some-college","No"
"18574","<=50K",24,"Never-married",15,"Some-college",0,0,"0","Entry-level","Never-married","Underemployed","HS-some-college","No"
"18576","<=50K",23,"Never-married",40,"Some-college",0,0,"0","Entry-level","Never-married","Full-time","HS-some-college","No"
"18584","<=50K",33,"Never-married",40,"9th",0,0,"0","Growth-phase","Never-married","Full-time","Non-HS","No"
"18585","<=50K",29,"Never-married",50,"HS-grad",0,0,"0","Entry-level","Never-married","Overtime","HS-some-college","No"
"18590","<=50K",31,"Married-civ-spouse",40,"7th-8th",0,0,"0","Growth-phase","Married","Full-time","Non-HS","No"
"18604","<=50K",29,"Married-civ-spouse",40,"HS-grad",0,0,"0","Entry-level","Married","Full-time","HS-some-college","No"
"18607","<=50K",60,"Widowed",44,"HS-grad",0,0,"0","Peak-earning","Previously-married","Full-time","HS-some-college","No"
"18613","<=50K",33,"Married-civ-spouse",40,"HS-grad",3781,0,"0","Growth-phase","Married","Full-time","HS-some-college","Yes"
"18629","<=50K",43,"Married-civ-spouse",35,"Bachelors",0,0,"0","Growth-phase","Married","Full-time","Bachelors","No"
"18637",">50K",48,"Married-civ-spouse",40,"Bachelors",5178,0,"1","Peak-earning","Married","Full-time","Bachelors","Yes"
"18644","<=50K",23,"Never-married",40,"Some-college",0,0,"0","Entry-level","Never-married","Full-time","HS-some-college","No"
"18647","<=50K",32,"Married-civ-spouse",40,"HS-grad",0,0,"0","Growth-phase","Married","Full-time","HS-some-college","No"
"18654",">50K",39,"Married-civ-spouse",55,"Doctorate",99999,0,"1","Growth-phase","Married","Overtime","Prof-doctorate","Yes"
"18660",">50K",56,"Married-civ-spouse",44,"Bachelors",5178,0,"1","Peak-earning","Married","Full-time","Bachelors","Yes"
"18665",">50K",36,"Married-civ-spouse",42,"Bachelors",3103,0,"1","Growth-phase","Married","Full-time","Bachelors","Yes"
"18669",">50K",45,"Married-civ-spouse",50,"Some-college",7688,0,"1","Peak-earning","Married","Overtime","HS-some-college","Yes"
"18680",">50K",30,"Married-civ-spouse",40,"Bachelors",0,0,"1","Entry-level","Married","Full-time","Bachelors","No"
"18691","<=50K",51,"Married-civ-spouse",40,"HS-grad",0,0,"0","Peak-earning","Married","Full-time","HS-some-college","No"
"18699","<=50K",35,"Married-civ-spouse",40,"HS-grad",0,0,"0","Growth-phase","Married","Full-time","HS-some-college","No"
"18712","<=50K",34,"Never-married",50,"Bachelors",0,1590,"0","Growth-phase","Never-married","Overtime","Bachelors","Yes"
"18715",">50K",28,"Married-civ-spouse",50,"11th",0,0,"1","Entry-level","Married","Overtime","Non-HS","No"
"18717","<=50K",26,"Never-married",40,"Some-college",0,0,"0","Entry-level","Never-married","Full-time","HS-some-college","No"
"18721","<=50K",18,"Never-married",30,"12th",0,0,"0","Entry-level","Never-married","Full-time","Non-HS","No"
"18723","<=50K",26,"Never-married",40,"Bachelors",0,0,"0","Entry-level","Never-married","Full-time","Bachelors","No"
"18724","<=50K",24,"Never-married",45,"HS-grad",0,0,"0","Entry-level","Never-married","Full-time","HS-some-college","No"
"18725","<=50K",90,"Married-civ-spouse",40,"HS-grad",6767,0,"0","Retirement-transition","Married","Full-time","HS-some-college","Yes"
"18726","<=50K",20,"Never-married",40,"Some-college",0,0,"0","Entry-level","Never-married","Full-time","HS-some-college","No"
"18728","<=50K",58,"Divorced",50,"Bachelors",0,0,"0","Peak-earning","Previously-married","Overtime","Bachelors","No"
"18732","<=50K",36,"Divorced",60,"Bachelors",0,0,"0","Growth-phase","Previously-married","Overtime","Bachelors","No"
"18736","<=50K",58,"Married-civ-spouse",40,"HS-grad",0,0,"0","Peak-earning","Married","Full-time","HS-some-college","No"
"18739",">50K",53,"Married-civ-spouse",60,"Some-college",0,0,"1","Peak-earning","Married","Overtime","HS-some-college","No"
"18742","<=50K",46,"Divorced",40,"Bachelors",0,0,"0","Peak-earning","Previously-married","Full-time","Bachelors","No"
"18744","<=50K",46,"Separated",40,"Some-college",0,0,"0","Peak-earning","Previously-married","Full-time","HS-some-college","No"
"18750","<=50K",19,"Never-married",35,"Some-college",0,0,"0","Entry-level","Never-married","Full-time","HS-some-college","No"
"18752","<=50K",29,"Never-married",40,"Bachelors",0,0,"0","Entry-level","Never-married","Full-time","Bachelors","No"
"18754","<=50K",25,"Never-married",35,"HS-grad",0,0,"0","Entry-level","Never-married","Full-time","HS-some-college","No"
"18777",">50K",54,"Divorced",50,"11th",0,0,"1","Peak-earning","Previously-married","Overtime","Non-HS","No"
"18778",">50K",36,"Married-civ-spouse",40,"HS-grad",0,0,"1","Growth-phase","Married","Full-time","HS-some-college","No"
"18780","<=50K",26,"Never-married",35,"Bachelors",0,0,"0","Entry-level","Never-married","Full-time","Bachelors","No"
"18781","<=50K",47,"Married-civ-spouse",35,"Prof-school",0,0,"0","Peak-earning","Married","Full-time","Prof-doctorate","No"
